text ner
Yogesh O
Ghatole O
Engineer B-Designation
/ I-Designation
Electrical I-Designation
Supervisor I-Designation
, L-Designation
Site -
at -
Shendra -
MIDC -
Aurangabad -
- -
Perkins -
India -
Ltd -
Nagpur O
, O
Maharashtra O
- O
Email O
me O
on O
Indeed O
: O
indeed.com/r/Yogesh-Ghatole/b381ddf132151a29 O
To O
work O
in O
a O
challenging O
environment O
demanding O
all O
my O
skills O
and O
efforts O
to O
explore O
and O
adapt O
myself O
in O
different O
fields O
and O
realize O
my O
potential O
where O
I O
get O
the O
opportunity O
for O
continuous O
learning O


JOB O
PROFILE O

WORK O
EXPERIENCE O
Engineer B-Designation
/ I-Designation
Electrical I-Designation
Supervisor I-Designation
, L-Designation
Site O
at O
Shendra O
MIDC O
Aurangabad O
Perkins O
India O
Ltd O
- O
Aurangabad O
, O
Maharashtra O
- O
July O
2017 O
to O
Present O
Designation O
: O
Engineer B-Designation
/ I-Designation
Electrical I-Designation
Supervisor I-Designation
, L-Designation
Site O
at O
Shendra O
MIDC O
Aurangabad O

Department O
: O
Plant O
Engineering O

• O
Maintaining O
plant O
Utility O

• O
Facility O
maintenance O

• O
Handling O
BMS O
( O
Building O
Management O
System O
) O

• O
Handling O
Project O
work O

• O
Maintaining O
Electrical O
Equipment O

• O
Handling O
Electricians O
, O
Technicians O
in O
plant O


• O
Maintaining O
transformer O
, O
circuit O
breakers O
, O
UPS O
, O
AHUs O
, O
Motors O
, O
Two O
pole O
structure O
and O
total O
lighting O
system O
in O
plant O

• O
Maintaining O
Plant O
Shutters O
( O
RAD O
) O
, O
Motorized O
shutters O

• O
Maintaining O
daily O
Reading O
work O
formats O

• O
Maintaining O
electrical O
items O
like O
LT O
, O
HT O
MCC O
Panels O
DB O
's O
, O
OH O
Lights O
, O
Industrial O
fans O
, O

• O
Reporting O
to O
section O
head O
in O
shift O
ending O
on O
daily O
basis O
Engineer O
- O
Service O
at O
Infosys O
Ltd. O
Ph O
Blue O
Star O
Ltd O
- O
Pune O
, O
Maharashtra O
- O
October O
2016 O
to O
June O
2017 O

-2 O

• O
Handling O
York O
Make O
, O
centrifugal O
chillers O


• O
Operating O
& O
amp O
; O
maintenance O
DOAS O
unit O
, O
Actuators O
, O
HRW O
, O
Fresh O
Air O
Exhaust O

• O
Operating O
BMS O
( O
Building O
management O
system O
) O

• O
Operating O
& O
amp O
; O
maintenance O
of O
AHU O
s O
, O
Pumps O
, O
Cooling O
Towers O
, O
CSUs O
, O
FCUs O
, O
ECUs O


• O
CFM O
adjustment O
, O
airflow O
adjustment O


• O
Handling O
Technicians O
, O
Electricians O
& O
amp O
; O
Operators O
team O


• O
Handling O
daily O
escalation O
of O
heat O
/ O
cool O
complaints O

Shift O
Supervisor O
https://www.indeed.com/r/Yogesh-Ghatole/b381ddf132151a29?isid=rex-download&ikw=download-top&co=IN O

MAHINDRA O
& O
MAHINDRA O
LTD O
- O
Nagpur O
, O
Maharashtra O
- O
January O
2013 O
to O
February O
2016 O

NAGPUR O
) O
Jan O
2013 O
to O
Feb O
2016 O

( O
Tractor O
Manufacturing O
Plant O
) O
Total O
Year O
of O
Experience O
: O
3 O
years O
Designation O
: O
Shift O
Supervisor O
& O
amp O
; O
Diploma O
Trainee O
Electrical O
Engineer O
Department O
: O
Central O
Maintenance O
Job O
Responsibilities O

• O
Handling O
complete O
shift O
planning O

• O
Maintaining O
transformer O
, O
circuit O
breakers O
, O
four O
pole O
structure O
and O
total O
lighting O
system O
in O
plant O

• O
Maintaining O
of O
plant O
PAC O
, O
AC O
's O
( O
Blue O
star O
& O
amp O
; O
Voltas O
) O

• O
Preventive O
maintenance O
planning O
& O
amp O
; O
attacking O
breakdowns O

• O
Maintaining O
plant O
utility O


• O
Maintaining O
daily O
work O
management O
formats O

• O
Maintaining O
electrical O
items O
like O
DB O
's O
, O
OH O
Lights O
, O
Industrial O
fans O
, O
water O
coolers O


• O
Reporting O
to O
section O
head O
in O
shift O
ending O
on O
daily O
basis O

• O
Handling O
Electricians -
in -
plant -

EDUCATION -
Diploma -
in -
Electrical O
Engineering O
Nagpur O
Polytechnic O
- O
Nagpur O
, O
Maharashtra O

2012 O

H.S.C O
in O
State O
Board O
Shree O
Binzani O
nagar O
College O
- O
Nagpur O
, O
Maharashtra O

2004 O

S.S.C O
in O
State O
Board O
Indira O
Gandhi O
High O
School O
- O
Nagpur O
, O
Maharashtra O

2002 O
Institute O
/ O
Board O

SKILLS O

40 O
WPM O
( O
Less O
than O
1 O
year O
) O
, O
AUTOCAD O
( O
Less O
than O
1 O
year O
) O
, O
EXCEL O
( O
Less O
than O
1 O
year O
) O
, O
MS O
EXCEL O

( O
Less O
than O
1 O
year O
) O
, O
MS O
OFFICE O
( O
Less O
than O
1 O
year O
) O

ADDITIONAL O
INFORMATION O

SOFTWARE O
SKILLS O

• O
Completed O
successfully O
MS O
- O
CIT O
MS O
Office O
- O
Basic O
Computer O
Course O
( O
MS O
Word O
, O
MS O
Excel O
, O
MS O
Power O
Point O
& O
amp O
; O
Internet O
) O
AutoCAD O
in O
Electrical O

• O
Good O
English O
, O
Marathi O
, O
& O
amp O
; O
Hindi O
Typing O
Skills O
( O
30 O
- O
40 O
Wpm O
) O
Harini O
Komaravelli O
Test B-Designation
Analyst L-Designation
at O
Oracle "U-Companies worked at"
, O
Hyderabad O
Hyderabad O
, O
Telangana O
- O
Email O
me O
on O
Indeed O
: O
indeed.com O
/ O
r O
/ O
Harini- O
Komaravelli/2659eee82e435d1b O

➢ O
6 O
Yrs O
of O
IT O
Experience O
in O
Manual B-Designation
and I-Designation
Automation I-Designation
testing I-Designation


WORK O
EXPERIENCE O
QA B-Designation
Analyst L-Designation
Oracle "U-Companies worked at"
Test B-Designation
Analyst L-Designation
at O
Oracle "U-Companies worked at"
, O
Hyderabad O
Infosys O
Ltd O
- O
Hyderabad O
, O
Telangana O
- O
November O
2011 O
to O
February O
2016 O
Hyderabad O
from O
Nov O
2011 O
to O
Feb17 O
2016 O

➢ O
Worked O
in O
Tata O
Consultancy O
Services O
, O
Hyderabad O
from O
Feb O
24 O
to O
Apr O
11 O
2017 O

➢ O
Currently O
working O
as O
a O
Test B-Designation
Analyst L-Designation
at O
Oracle "U-Companies worked at"
, O
Hyderabad O
QA B-Designation
Analyst L-Designation
with O
6 O
years O
of O
IT O
experience O
Oracle "U-Companies worked at"

EDUCATION O
MCA U-Degree
Osmania O
University O
B.Sc B-Degree
in I-Degree
Computer I-Degree
Science L-Degree
Osmania O
University O

SKILLS O
Functional O
Testing O
, O
Blue O
Prism O
, O
Qtp O

ADDITIONAL O
INFORMATION O
Area O
of O
Expertise O
: O

➢ O
Familiar O
with O
Agile O
Methodologies O
